JournalTitle,MedAbbr,ISSN,eISSN,JIF_2024,JIF_Quartile,CAS_Quartile
Guy's Hospital reports,Guys Hosp Rep,0017-5889,,,,
Gynaecologia. International monthly review of obstetrics and gynecology. Revue internationale mensuelle d'obstetrique et de gynecologie. Monatsschrift fur Geburtshilfe und Gynakologie,Gynaecologia,0367-5513,,,,
Gynakologische Rundschau,Gynakol Rundsch,0017-6001,,,,
Der Gynakologe,Gynakologe,0017-5994,,,,
Gynecologic investigation,Gynecol Invest,0017-5986,,,,
Health values,Health Values,0147-0353,,,,
Gerontologie,Gerontologie,0168-8774,,,,
Godisnjak Vojnomedicinske akademije = Annual of the Military Medical Academy,God Vojnomed Akad,0352-664X,,,,
Gynecologie pratique,Gynecol Prat,0017-6028,,,,
Hamatologie und Bluttransfusion,Hamatol Bluttransfus,0440-0607,,,,
Haematologica Latina,Haematol Lat,0017-6575,,,,
Haematologia,Haematologia (Budap),0017-6559,,,,
Health technology,Health Technol,0891-1924,,,,
Haemostasis,Haemostasis,0301-0147,,,,
Tohoku Shika Daigaku Gakkai shi,Tohoku Shika Daigaku Gakkai Shi,0385-0161,,,,
The Hand,Hand,0072-968X,,,,
Social work research & abstracts,Soc Work Res Abstr,0148-0847,,,,
Handchirurgie,Handchirurgie,0046-6794,,,,
NEHW health watch,NEHW Health Watch,8756-0356,,,,
Federation bulletin,Fed Bull,0014-9306,,,,
Harefuah,Harefuah,0017-7768,,,,
Harvey lectures,Harvey Lect,0073-0874,,,,
Studies - Hastings Center,Stud Hastings Cent,0093-3252,,,,
Health care week,Health Care Week,0162-2307,,,,
"Der Hautarzt; Zeitschrift fur Dermatologie, Venerologie, und verwandte Gebiete",Hautarzt,0017-8470,1432-1173,,,
Health affairs,Health Aff,0092-8577,,,,
Health bulletin,Health Bull (Edinb),0374-8014,,,,
Health education reports,Health Educ Rep,0193-5232,,,,
Health care in Canada,Health Care Can,0706-0726,,,,
Health devices,Health Devices,0046-7022,,,,
Health education,Health Educ,0097-0050,,,,
Health education monographs,Health Educ Monogr,0073-1455,,,,
Health care financing trends,Health Care Financ Trends,0882-8946,,,,
Health PAC bulletin,Health PAC Bull,0017-9051,,,,
HealthTexas,Healthtexas,1048-4167,,,,
Health laboratory science,Health Lab Sci,0017-9035,,,,
Health manpower literature,Health Manpow Lit,0160-0222,,,,
The Health of the people,Health People,0301-0384,,,,
Health and population; perspectives and issues,Health Popul Perspect Issues,0253-6803,,,,
Health policy and education,Health Policy Educ,0165-2281,,,,
Health services reports,Health Serv Rep,0090-2918,,,,
Health Law Project library bulletin,Health Law Proj Libr Bull,0163-3996,,,,
Grantsmanship Center News,Grantsmanship Cent News,0364-3115,,,,
Health education quarterly,Health Educ Q,0195-8402,,,,
Head & neck surgery,Head Neck Surg,0148-6403,,,,
Health care planning & marketing : HCP&M,Health Care Plann Mark,0271-1222,,,,
Health policy quarterly,Health Policy Q,0163-5107,,,,
Hefte zur Unfallheilkunde,Hefte Unfallheilkd,0085-1469,,,,
Home healthcare nurse,Home Healthc Nurse,0884-741X,1539-0713,,,
Hospital purchasing news : HPN,HPN Hosp Purch News,0279-4799,,,,
"International journal of radiation applications and instrumentation. Part A, Applied radiation and isotopes",Int J Rad Appl Instrum A,0883-2889,,,,
"International journal of radiation applications and instrumentation. Part B, Nuclear medicine and biology",Int J Rad Appl Instrum B,0883-2897,,,,
"Issues in health care (Philadelphia, Pa.)",Issues Health Care,0885-0054,,,,
Hellenis adelphe,Hell Adelphe,0301-5157,,,,
"Health (Family Media, Inc.)",Health (N Y),0279-3547,,,,
The Health service journal,Health Serv J,0952-2271,,,,
Hellenika stomatologika chronika. Hellenic stomatological annals,Hell Stomatol Chron,1011-4181,,,,
Helvetica medica acta,Helv Med Acta,0018-0203,,,,
Helvetica medica acta. Supplementum,Helv Med Acta Suppl,0367-5971,,,,
Helvetica odontologica acta,Helv Odontol Acta,0018-0211,,,,
Health management forum,Health Manage Forum,0712-5046,,,,
Helvetica paediatrica acta,Helv Paediatr Acta,0018-022X,,,,
The Henry E. Sigerist supplements to the Bulletin of the history of medicine,Henry E Sigerist Suppl Bull Hist Med,0194-1100,,,,
Henry Ford Hospital medical journal,Henry Ford Hosp Med J,0018-0416,,,,
Helvetica paediatrica acta. Supplementum,Helv Paediatr Acta Suppl,0073-1811,,,,
Hereditas,Hereditas,0018-0661,1601-5223,,,
The Hip,Hip,0095-7216,,,,
Hippokrates,Hippokrates,0018-2001,,,,
Hiroshima journal of medical sciences,Hiroshima J Med Sci,0018-2052,2433-7668,,,
The Journal of the American Osteopathic Association,J Am Osteopath Assoc,0098-6151,1945-1997,,,
Hospital risk management,Hosp Risk Manage,0199-6312,,,,
The Hospital medical staff,Hosp Med Staff,0090-0710,,,,
Issues in comprehensive pediatric nursing,Issues Compr Pediatr Nurs,0146-0862,1521-043X,,,
Hispalis medica; revista sevillana de medicina y cirugia,Hisp Med,0018-2125,,,,
Hospital formulary,Hosp Formul,0098-6909,,,,
Hospital pharmacy,Hosp Pharm,0018-5787,1945-1253,,,
Institutions/volume feeding,Inst Vol Feed,0094-6745,,,,
The Histochemical journal,Histochem J,0018-2214,,,,
Histochemie. Histochemistry. Histochimie,Histochemie,0018-2222,,,,
Human nutrition. Applied nutrition,Hum Nutr Appl Nutr,0263-8495,,,,
Human nutrition. Clinical nutrition,Hum Nutr Clin Nutr,0263-8290,,,,
Histochemistry,Histochemistry,0301-5564,,,,
Investigative & cell pathology,Invest Cell Pathol,0146-7611,,,,
Hospital financial management,Hosp Financ Manage,0018-5639,,,,
Hospital supervisor's bulletin,Hosp Superv Bull,0018-585X,,,,
Hospital & health services administration,Hosp Health Serv Adm,8750-3735,,,,
Hospital supervision,Hosp Superv,0018-5841,,,,
How to: Evaluate health programs,How Eval Health Programs,0191-3727,,,,
Human neurobiology,Hum Neurobiol,0721-9075,,,,
Hospital gift shop management,Hosp Gift Shop Manage,0738-7946,,,,
Hoja tisiologica,Hoja Tisiol,0018-3326,,,,
Hepato-gastroenterology,Hepatogastroenterology,0172-6390,,,,
Xianggang hu li za zhi. The Hong Kong nursing journal,Xianggang Hu Li Za Zhi,0073-3253,,,,
The Health care supervisor,Health Care Superv,0731-3381,,,,
Health care strategic management,Health Care Strateg Manage,0742-1478,,,,
Health cost management,Health Cost Manage,0740-2406,,,,
Health & medicine : journal of the Health and Medicine Policy Research Group,Health Med,0741-2339,,,,
Health care marketer & target market,Health Care Mark Target Market,0884-6596,,,,
Health care marketer,Health Care Mark,0896-1204,,,,
Gamete research,Gamete Res,0148-7280,,,,
Health services manager,Health Serv Manager,0363-020X,,,,
Health and social service journal,Health Soc Serv J,0300-8347,,,,
Gene analysis techniques,Gene Anal Tech,0735-0651,,,,
Health care law newsletter,Health Care Law Newsl,0893-6099,,,,
Horizons in biochemistry and biophysics,Horiz Biochem Biophys,0096-2708,,,,
Hospital purchasing management,Hosp Purch Manage,0163-1322,,,,
Journal of healthcare protection management : publication of the International Association for Hospital Security,J Healthc Prot Manage,0891-7930,,,,
Health care education,Health Care Educ,0160-7006,,,,
Health law in Canada,Health Law Can,0226-8841,,,,
Healthcare financial management : journal of the Healthcare Financial Management Association,Healthc Financ Manage,0735-0732,,,,
The Hillside journal of clinical psychiatry,Hillside J Clin Psychiatry,0193-5216,,,,
Healthcare computing & communications,Healthc Comput Commun,8750-149X,,,,
Hormone research,Horm Res,0301-0163,1423-0046,,,
Hormone and metabolic research. Supplement series,Horm Metab Res Suppl,0170-5903,,,,
Health manpower report,Health Manpow Rep,0161-6781,,,,
Health services manpower review,Health Serv Manpow Rev,0306-0233,,,,
Hormones,Hormones,0018-5051,,,,
The Hospital and health services review,Hosp Health Serv Rev,0308-0234,,,,
Hospital employee health,Hosp Employee Health,0744-6470,,,,
Hospital administration in Canada,Hosp Adm Can,0018-554X,,,,
Hospital management quarterly : HMQ,Hosp Manage Q,0891-9941,,,,
Home health journal,Home Health J,0734-7588,,,,
The Hospice journal,Hosp J,0742-969X,,,,
Hospital administration currents,Hosp Admin Curr,0046-7952,,,,
Hospital & community psychiatry,Hosp Community Psychiatry,0022-1597,,,,
Hospital administration,Hosp Adm (New Delhi),0018-5531,,,,
Hospital admitting monthly,Hosp Admitting Mon,0745-1466,,,,
Hospital equipment & supplies,Hosp Equip Supplies,0018-5620,,,,
Hospital security and safety management,Hosp Secur Saf Manage,0745-1148,,,,
Hospital management,Hosp Manage,0018-5744,,,,
Hospital libraries,Hosp Libr,0145-8930,,,,
Hospital peer review,Hosp Peer Rev,0149-2632,,,,
Hospital progress,Hosp Prog,0018-5817,,,,
Hospital practice,Hosp Pract,0018-5809,,,,
Hospital materiel management quarterly,Hosp Mater Manage Q,0192-2262,,,,
Hospital physician,Hosp Physician,0888-2428,,,,
Hospital topics,Hosp Top,0018-5868,1939-9278,,,
Hospital development,Hosp Dev,0300-5720,,,,
"Hospital (Rio de Janeiro, Brazil)",Hospital (Rio J),0018-5469,,,,
Hospital forum,Hosp Forum,0018-5663,,,,
Hospital food & nutrition focus,Hosp Food Nutr Focus,0747-7376,,,,
Hospitals,Hospitals,0018-5973,,,,
Hospital infection control,Hosp Infect Control,0098-180X,,,,
The Hospital manager,Hosp Manager,0740-9982,,,,
HSMHA health reports,HSMHA Health Rep,0083-1204,,,,
Human biology,Hum Biol,0018-7143,1534-6617,,,
Home health review,Home Health Rev,0193-2683,,,,
Human biology in Oceania,Hum Biol Oceania,0046-8142,,,,
IARC monographs on the evaluation of the carcinogenic risk of chemicals to man,IARC Monogr Eval Carcinog Risk Chem Man,0301-3944,,,,
IARC monographs on the evaluation of the carcinogenic risk of chemicals to humans,IARC Monogr Eval Carcinog Risk Chem Hum,0250-9555,,,,
Human physiology,Hum Physiol,0362-1197,1608-3164,,,
Hospital management communications,Hosp Manage Commun,0274-5429,,,,
Hua xi yi ke da xue xue bao = Journal of West China University of Medical Sciences = Huaxi yike daxue xuebao,Hua Xi Yi Ke Da Xue Xue Bao,0257-7712,,,,
Humangenetik,Humangenetik,0018-7348,,,,
Gene amplification and analysis,Gene Amplif Anal,0275-2778,,,,
Health practitioner. Physician assistant,Health Pract Physician Assist,0192-7310,,,,
Genitourinary medicine,Genitourin Med,0266-4348,,,,
Gerontion,Gerontion,0829-8297,,,,
L'Hygiene mentale,Hyg Ment,0073-4241,,,,
Hygie,Hygie,0751-7149,,,,
"Geriatric nursing (London, England)",Geriatr Nurs (Lond),0950-0448,,,,
Human organization,Hum Organ,0018-7259,,,,
Human toxicology,Hum Toxicol,0144-5952,,,,
Hybridoma,Hybridoma,0272-457X,,,,
I.D.A.A. communique,IDAA Commun,0360-7224,,,,
Concern in care of the aging,Concern Care Aging,0190-9754,,,,
Image--the journal of nursing scholarship,Image J Nurs Sch,0743-5150,,,,
L'igiene moderna,Ig Mod,0019-1655,,,,
Implantologist,Implantologist,0190-2024,,,,
Important advances in oncology,Important Adv Oncol,0883-5896,,,,
IADS newsletter,IADS Newsl,0301-5831,,,,
"IEEE transactions on systems, man, and cybernetics",IEEE Trans Syst Man Cybern,0018-9472,2168-2909,,,
Illinois dental journal,Ill Dent J,0019-1973,,,,
Innovations,Innovations,0095-4519,,,,
Image,Image (IN),0363-2792,,,,
Immunochemistry,Immunochemistry,0019-2791,,,,
Immunological communications,Immunol Commun,0090-0877,,,,
Grants magazine,Grants Mag,0160-9734,,,,
Health care security and safety management,Health Care Secur Saf Manage,0279-3466,,,,
Imprint,Imprint,0019-3062,,,,
In vitro,In Vitro,0073-5655,,,,
Industrial medicine & surgery,Ind Med Surg,0019-8536,,,,
Special report series - Indian Council of Medical Research,Spec Rep Ser Indian Counc Med Res,0073-6325,,,,
In vitro. Monograph,In Vitro Monogr,0363-521X,,,,
Hawaii nurses pipeline,Hawaii Nurses Pipeline,0146-2784,,,,
Indian heart journal: teaching series,Indian Heart J Teach Ser,0378-6315,,,,
Health & medical care services review,Health Med Care Serv Rev,0160-7618,,,,
Higashi Nihon shigaku zasshi,Higashi Nihon Shigaku Zasshi,0910-9722,,,,
Indian journal of biochemistry & biophysics,Indian J Biochem Biophys,0301-1208,0975-0959,,,
Health care financing review,Health Care Financ Rev,0195-8631,1554-9887,,,
The Indian journal of chest diseases,Indian J Chest Dis,0019-5111,,,,
The Indian journal of chest diseases & allied sciences,Indian J Chest Dis Allied Sci,0377-9343,,,,
"Giornale italiano di dermatologia e venereologia : organo ufficiale, Societa italiana di dermatologia e sifilografia",G Ital Dermatol Venereol,0392-0488,1827-1820,,,
Health law vigil,Health Law Vigil,0270-3343,,,,
Immunology. Supplement,Immunol Suppl,0953-4954,,,,
Giornale italiano di oncologia,G Ital Oncol,0392-128X,,,,
Indian journal of medical sciences,Indian J Med Sci,0019-5359,1998-3654,,,
Journal (American Medical Record Association),J Am Med Rec Assoc,0273-9976,,,,
Indicator (Minnesota Mining and Manfuacturing Company),Indicator,0898-5308,,,,
Indian journal of pathology & bacteriology,Indian J Pathol Bacteriol,0019-5448,,,,
Health care,Health Care (Don Mills),0226-5788,,,,
IARC scientific publications,IARC Sci Publ,0300-5038,,,,
Canadian journal of otolaryngology. Supplement,Can J Otolaryngol Suppl,0707-7289,,,,
Indian journal of physiology and pharmacology,Indian J Physiol Pharmacol,0019-5499,,,,
Health communications and informatics,Health Commun Informatics,0378-9845,,,,
Indian journal of public health,Indian J Public Health,0019-557X,,,,
Indian medical journal,Indian Med J,0019-5871,,,,
The Indian practitioner,Indian Pract,0019-6169,2394-3017,,,
Hansenologia internationalis,Hansenol Int,0100-3283,1982-5161,,,
The Indian veterinary journal,Indian Vet J,0019-6479,,,,
L' Information dentaire,Inf Dent,0020-0018,,,,
Infection control digest,Infect Control Dig,0275-0236,,,,
Infection control & urological care,Infect Control Urol Care,0740-3615,,,,
Informatore Odonto-Stomatologico,Inf Odontostomatol,0020-0751,,,,
L'Information psychiatrique,Inf Psychiatr,0020-0204,1952-4056,,,
"Inforum (Adelaide, S. Aust.)",Inforum,0812-9304,,,,
L' Infirmiere canadienne,Infirm Can,0019-9605,,,,
L'Infirmiere francaise,Infirm Fr,0019-9613,,,,
Infusionstherapie und klinische Ernahrung,Infusionsther Klin Ernahr,0378-0791,,,,
Inhaled particles,Inhaled Part,0301-1577,,,,
L' Infirmiere,Infirmiere,0019-9591,,,,
L'Infirmiere auxiliaire : revue de la Corporation professionnelle des infirmieres et infirmiers auxiliaires du Quebec,Infirm Aux,0822-8558,,,,
Infusionstherapie und klinische Ernahrung. Sonderheft,Infusionsther Klin Ernahr Sonderh,0379-4938,,,,
"Interiors (New York, N.Y. : 1978)",Interiors,0164-8470,,,,
International anesthesiology clinics,Int Anesthesiol Clin,0020-5907,1537-1913,,,
International archives of allergy and applied immunology,Int Arch Allergy Appl Immunol,0020-5915,,,,
"Infusionstherapie (Basel, Switzerland)",Infusionstherapie,1011-6966,,,,
Interferon,Interferon,0276-1076,,,,
International advances in surgical oncology,Int Adv Surg Oncol,0190-1575,,,,
Internationales Archiv fur Arbeitsmedizin,Int Arch Arbeitsmed,0020-5923,,,,
Intensivmedizinische Praxis,Intensivmed Prax,0173-2315,,,,
"International journal of clinical pharmacology, therapy, and toxicology",Int J Clin Pharmacol Ther Toxicol,0174-4879,,,,
Newsletter - American Academy of Health Administration. American Academy of Health Administration,Newsl Am Acad Health Adm,0196-450X,,,,
The International journal of the addictions,Int J Addict,0020-773X,,,,
International family planning digest,Int Fam Plann Dig,0362-4056,,,,
International journal of andrology,Int J Androl,0105-6263,1365-2605,,,
The International journal of applied radiation and isotopes,Int J Appl Radiat Isot,0020-708X,,,,
International journal of biological research in pregnancy,Int J Biol Res Pregnancy,0173-8593,,,,
International journal of bio-medical computing,Int J Biomed Comput,0020-7101,,,,
IARC monographs on the evaluation of the carcinogenic risk of chemicals to humans. Supplement,IARC Monogr Eval Carcinog Risk Chem Hum Suppl,1014-4307,,,,
International journal of chronobiology,Int J Chronobiol,0300-9998,,,,
AMHC forum,AMHC Forum,0883-0401,,,,
"International journal of clinical pharmacology, therapy and toxicology",Int J Clin Pharmacol,0300-9718,,,,
International journal of clinical pharmacology and biopharmacy,Int J Clin Pharmacol Biopharm,0340-0026,,,,
International journal of equilibrium research,Int J Equilib Res,0303-7223,,,,
International journal of fertility,Int J Fertil,0020-725X,,,,
International journal of clinical pharmacology research,Int J Clin Pharmacol Res,0251-1649,,,,
The International journal of forensic dentistry,Int J Forensic Dent,0306-9419,,,,
International journal of group psychotherapy,Int J Group Psychother,0020-7284,1943-2836,,,
International journal of immunopharmacology,Int J Immunopharmacol,0192-0561,,,,
International journal of cancer. Supplement = Journal international du cancer. Supplement,Int J Cancer Suppl,0898-6924,,,,
"Growth, development, and aging : GDA",Growth Dev Aging,1041-1232,,,,
International journal of neurology,Int J Neurol,0020-7446,,,,
International journal of nuclear medicine and biology,Int J Nucl Med Biol,0047-0740,,,,
International journal of neuropharmacology,Int J Neuropharmacol,0375-9458,,,,
International journal of orthodontics,Int J Orthod,0020-7500,,,,
International journal of oral surgery,Int J Oral Surg,0300-9785,,,,
The International journal of occupational health & safety,Int J Occup Health Saf,0093-2205,,,,
International journal of peptide and protein research,Int J Pept Protein Res,0367-8377,,,,
The International journal of oral myology,Int J Oral Myol,0360-4004,,,,
International journal of psychiatry,Int J Psychiatry,0020-756X,,,,
The International journal of pediatric nephrology,Int J Pediatr Nephrol,0391-6510,,,,
The International journal of orofacial myology : official publication of the International Association of Orofacial Myology,Int J Orofacial Myology,0735-0120,2694-2526,,,
Giornale di stomatologia e di ortognatodonzia,G Stomatol Ortognatodonzia,1122-1038,,,,
International journal of psychoanalytic psychotherapy,Int J Psychoanal Psychother,0091-0600,,,,
"International journal of radiation biology and related studies in physics, chemistry, and medicine",Int J Radiat Biol Relat Stud Phys Chem Med,0020-7616,,,,
International rehabilitation medicine,Int Rehabil Med,0379-0797,,,,
"International journal of microcirculation, clinical and experimental",Int J Microcirc Clin Exp,0167-6865,,,,
International rescuer,Int Rescuer,0020-8515,,,,
International journal of partial hospitalization,Int J Partial Hosp,0272-4308,,,,
International journal of psychosomatics : official publication of the International Psychosomatics Institute,Int J Psychosom,0884-8297,,,,
International journal of tissue reactions,Int J Tissue React,0250-0868,,,,
International journal of zoonoses,Int J Zoonoses,0377-0168,,,,
Infection control : IC,Infect Control,0195-9417,,,,
International ophthalmology clinics,Int Ophthalmol Clin,0020-8167,1536-9617,,,
International review of physiology,Int Rev Physiol,0363-3918,,,,
International psychiatry clinics,Int Psychiatry Clin,0020-8426,,,,
International pharmacopsychiatry,Int Pharmacopsychiatry,0020-8272,,,,
International review of connective tissue research,Int Rev Connect Tissue Res,0074-767X,,,,
International review of cytology. Supplement,Int Rev Cytol Suppl,0074-770X,,,,
International review of experimental pathology,Int Rev Exp Pathol,0074-7718,,,,
International review of neurobiology,Int Rev Neurobiol,0074-7742,2162-5514,,,
International review of tropical medicine,Int Rev Trop Med,0074-7777,,,,
AHA hospital technology series,AHA Hosp Technol Ser,0735-4681,,,,
"Internationale Zeitschrift fur angewandte Physiologie, einschliesslich Arbeitsphysiologie",Int Z Angew Physiol,0020-9376,,,,
"Internationale Zeitschrift fur klinische Pharmakologie, Therapie, und Toxikologie. International journal of clinical pharmacology, therapy, and toxicology",Int Z Klin Pharmakol Ther Toxikol,0020-9392,,,,
Internationale Zeitschrift fur Vitamin- und Ernahrungsforschung. Beiheft,Int Z Vitam Ernahrungsforsch Beih,0373-0883,,,,
Internationale Zeitschrift fur Vitaminforschung. International journal of vitamin research. Journal international de vitaminologie,Int Z Vitaminforsch,0020-9406,,,,
Invasion & metastasis,Invasion Metastasis,0251-1789,,,,
Internistische Praxis,Internist Prax,0020-9570,,,,
Der Internist,Internist (Berl),0020-9554,1432-1289,,,
The Internist,Internist,0020-9546,,,,
Investigative ophthalmology,Invest Ophthalmol,0020-9988,,,,
The Investor-owned hospital review,Investor Owned Hosp Rev,0093-7312,,,,
Investigative urology,Invest Urol,0021-0005,,,,
Ion exchange and membranes,Ion Exch Membr,0091-0619,,,,
The Iowa dental journal,Iowa Dent J,0021-0498,,,,
Iowa medicine : journal of the Iowa Medical Society,Iowa Med,0746-8709,,,,
Irish medical journal,Ir Med J,0332-3102,,,,
Irish nursing and hospital world,Ir Nurs Hosp World,0790-7702,,,,
Irish nurses' journal,Ir Nurses J,0021-1346,,,,
Iryo,Iryo,0021-1699,,,,
IRCS journal of medical science,IRCS J Med Sci,0305-6481,,,,
Isozymes,Isozymes Curr Top Biol Med Res,0160-3787,,,,
Human genetics. Supplement,Hum Genet Suppl,0172-7699,,,,
The Israel annals of psychiatry and related disciplines,Isr Ann Psychiatr Relat Discip,0021-1958,,,,
Israel journal of medical sciences,Isr J Med Sci,0021-2180,,,,
"Refu'at ha-peh veha-shinayim (Tel Aviv, Israel : 1969)",Refuat Hapeh Vehashinayim,0034-3161,,,,
Israel journal of zoology,Isr J Zool,0021-2210,,,,
Immunopharmacology,Immunopharmacology,0162-3109,,,,
Issues (National Council of State Boards of Nursing (U.S.)),Issues,0885-0046,,,,
The Israel journal of psychiatry and related sciences,Isr J Psychiatry Relat Sci,0333-7308,2617-2402,,,
Istanbul Universitesi Dishekimligi Fakultesi dergisi = The journal of the Dental Faculty of Istanbul,Istanbul Univ Dishekim Fak Derg,0257-8212,,,,
Italian general review of dermatology,Ital Gen Rev Dermatol,0021-292X,,,,
The Italian journal of biochemistry,Ital J Biochem,0021-2938,,,,
Italian journal of neurological sciences,Ital J Neurol Sci,0392-0461,,,,
The Italian journal of surgical sciences,Ital J Surg Sci,0392-3525,,,,
Italian journal of orthopaedics and traumatology,Ital J Orthop Traumatol,0390-5489,,,,
Izvestiia Akademii nauk SSSR. Seriia biologicheskaia,Izv Akad Nauk SSSR Biol,0002-3329,,,,
Izvestiia na Instituta po fiziologiia,Izv Inst Fiziol (Sofiia),0068-3922,,,,
Izvestiia na Mikrobiologicheskiia institut,Izv Mikrobiol Inst (Sofiia),0068-3957,,,,
Journal of abnormal child psychology,J Abnorm Child Psychol,0091-0627,1573-2835,,,
Issues in health care of women,Issues Health Care Women,0161-5246,,,,
Journal of abnormal psychology,J Abnorm Psychol,0021-843X,1939-1846,,,
Journal - Academy of General Dentistry,J Acad Gen Dent,0001-4265,,,,
Journal of the Air Pollution Control Association,J Air Pollut Control Assoc,0002-2470,,,,
Journal - Alabama Dental Association,J Ala Dent Assoc,0002-4198,,,,
The Journal of the All India Dental Association,J All India Dent Assoc,0377-0516,,,,
Journal of the All-India Ophthalmological Society,J All India Ophthalmol Soc,0044-7307,,,,
Journal of the American College of Nutrition,J Am Coll Nutr,0731-5724,1541-1087,,,
Journal of the American Academy of Child Psychiatry,J Am Acad Child Psychiatry,0002-7138,,,,
The Journal of the American Academy of Gold Foil Operators,J Am Acad Gold Foil Oper,0002-7146,,,,
The Journal of the American Association of Nurse Anesthetists,J Am Assoc Nurse Anesth,0002-7448,,,,
The Journal of the American College of Dentists,J Am Coll Dent,0002-7979,,,,
Journal of the American College Health Association,J Am Coll Health Assoc,0002-7944,,,,
The Journal of the American Dental Hygienists' Association,J Am Dent Hyg Assoc,0002-8185,,,,
Journal of the American Dietetic Association,J Am Diet Assoc,0002-8223,1878-3570,,,
Journal - American Health Care Association,J Am Health Care Assoc,0360-4969,,,,
Journal of the American Institute of Homeopathy,J Am Inst Homeopath,0002-8967,,,,
Journal of the American Institute of Planners,J Am Inst Plann,0002-8991,,,,
Journal of the American Medical Women's Association (1972),J Am Med Womens Assoc (1972),0098-8421,1551-8221,,,
Journal of the American Optometric Association,J Am Optom Assoc,0003-0244,,,,
Journal of the American Pharmaceutical Association,J Am Pharm Assoc,0003-0465,,,,
Journal of biochemical and biophysical methods,J Biochem Biophys Methods,0165-022X,1872-857X,,,
Journal - Association for Hospital Medical Education,J Assoc Hosp Med Educ,0148-4869,,,,
Journal of the autonomic nervous system,J Auton Nerv Syst,0165-1838,,,,
The Journal of the American Association of Nephrology Nurses & Technicians,J Am Assoc Nephrol Nurses Tech,0360-7615,,,,
The Journal of audiovisual media in medicine,J Audiov Media Med,0140-511X,1465-3494,,,
Journal of the American Podiatry Association,J Am Podiatry Assoc,0003-0538,,,,
Journal of the American Psychoanalytic Association,J Am Psychoanal Assoc,0003-0651,1941-2460,,,
Journal - American Intra-Ocular Implant Society,J Am Intraocul Implant Soc,0146-2776,,,,
The Journal for hospital admitting management : official publication of the National Association of Hospital Admitting Managers,J Hosp Admit Manage,0894-1068,,,,
Journal of American insurance,J Am Insur,0021-874X,,,,
The Journal of the American Society for Geriatric Dentistry,J Am Soc Geriatr Dent,0003-1054,,,,
Journal of allied health,J Allied Health,0090-7421,1945-404X,,,
Journal (Anglo-Continental Dental Society),J Anglocont Dent Soc,0003-3324,,,,
Journal of the American Audiology Society,J Am Audiol Soc,0360-9294,,,,
The Journal of the American Society for Preventive Dentistry,J Am Soc Prev Dent,0093-4518,,,,
The Journal of the American Academy of Psychoanalysis,J Am Acad Psychoanal,0090-3604,,,,
Journal of the American Auditory Society,J Am Aud Soc,0164-5080,,,,
Journal of the American Society for Information Science. American Society for Information Science,J Am Soc Inf Sci,0002-8231,,,,
The Journal of the American Society of Psychosomatic Dentistry and Medicine,J Am Soc Psychosom Dent Med,0003-1194,,,,
"Journal of applied physiology: respiratory, environmental and exercise physiology",J Appl Physiol Respir Environ Exerc Physiol,0161-7567,,,,
Journal of adolescent health care : official publication of the Society for Adolescent Medicine,J Adolesc Health Care,0197-0070,,,,
Journal of the American Society for the Study of Orthodontics. American Society for the Study of Orthodontics,J Am Soc Study Orthod,0003-1089,,,,
JCAH perspectives. Joint Commission on Accreditation of Hospitals,JCAH Perspect,0277-8327,,,,
Journal (American Academy of Gnathologic Orthopedics),J Am Acad Gnathol Orthop,0886-1064,,,,
Journal of the American Venereal Disease Association,J Am Vener Dis Assoc,0095-148X,,,,
Journal of andrology,J Androl,0196-3635,1939-4640,,,
Japanese journal of cancer research : Gann,Jpn J Cancer Res,0910-5050,1876-4673,,,
"Hospital capital finance American Hospital Association, Division of Hospital Planning and Capital Finance",Hosp Cap Finance,0742-5708,,,,
Home care economics,Home Care Econ,0891-9364,,,,
The Healthcare Forum journal,Healthc Forum J,0899-9287,,,,
The Journal of antibiotics. Ser. B,J Antibiot B,0447-8991,2186-5469,,,
Journal Of Apdsa; Asian Pacific Dental Student Association,J APDSA (Tokyo),0571-2912,,,,
Hawaii dental journal,Hawaii Dent J,0891-9933,,,,
Healthcare forum,Healthc Forum,0885-257X,,,,
The Journal of applied bacteriology,J Appl Bacteriol,0021-8847,,,,
Journal of applied behavior analysis,J Appl Behav Anal,0021-8855,1938-3703,,,
Nihon Rai Gakkai zasshi,Nihon Rai Gakkai Zasshi,0386-3980,,,,
The Journal of applied nutrition,J Appl Nutr,0021-8960,,,,
Journal of applied biochemistry,J Appl Biochem,0161-7354,,,,
HealthSpan,Healthspan,0883-0452,,,,
Healthcare executive currents,Healthc Exec Curr,0898-1647,,,,
Journal of applied physiology,J Appl Physiol,0021-8987,,,,
Hematologic pathology,Hematol Pathol,0886-0238,,,,
Healthcare executive,Healthc Exec,0883-5381,,,,
In vitro cellular & developmental biology : journal of the Tissue Culture Association,In Vitro Cell Dev Biol,0883-8364,,,,
International disability studies,Int Disabil Stud,0259-9147,,,,
Heart and vessels. Supplement,Heart Vessels Suppl,0935-736X,,,,
The Journal of the Arkansas Medical Society,J Ark Med Soc,0004-1858,,,,
JAAMI : journal of the Association for the Advancement of Medical Instrumentation,J Assoc Adv Med Instrum,0004-5446,,,,
Journal of the Association for the Care of Children in Hospitals,J Assoc Care Child Hosp,0145-3351,,,,
Healthcare management forum,Healthc Manage Forum,0840-4704,2352-3883,,,
Journal - Association of Official Analytical Chemists,J Assoc Off Anal Chem,0004-5756,,,,
